Date,AAPL,AMZN,GOOG,MSFT
2021-03-11,119.01490020751953,155.67950439453125,105.01982116699219,228.486572265625
2021-03-12,118.10737609863281,154.47450256347656,102.3952865600586,227.15684509277344
2021-03-15,120.99588775634766,154.08399963378906,102.62223052978516,226.25111389160156
2021-03-16,122.53775024414062,154.59300231933594,103.91488647460938,229.04541015625
2021-03-17,121.74729919433594,156.7864990234375,103.84336853027344,228.3998260498047
2021-03-18,117.61944580078125,151.39950561523438,101.11901092529297,222.31021118164062
2021-03-19,117.09247589111328,153.7480010986328,101.46564483642578,221.9536895751953
2021-03-22,120.41036987304688,155.5435028076172,101.23670959472656,227.38812255859375
2021-03-23,119.58092498779297,156.875,101.95033264160156,228.920166015625
2021-03-24,117.19007873535156,154.35350036621094,101.55801391601562,226.87742614746094
2021-03-25,117.67799377441406,152.31300354003906,101.52324676513672,223.87115478515625
2021-03-26,118.28302001953125,152.60150146484375,101.08573913574219,227.8602294921875
2021-03-29,118.45868682861328,153.7864990234375,102.09880828857422,226.6654815673828
2021-03-30,117.00464630126953,152.76449584960938,102.07845306396484,223.39901733398438
2021-03-31,119.20033264160156,154.70399475097656,102.72850036621094,227.17611694335938
2021-04-01,120.02980041503906,158.0500030517578,106.16100311279297,233.5163116455078
2021-04-05,122.85977935791016,161.3365020751953,110.52117919921875,239.99136352539062
2021-04-06,123.16226959228516,161.1909942626953,110.48146057128906,238.825439453125
2021-04-07,124.81147003173828,163.96949768066406,111.719482421875,240.79112243652344
2021-04-08,127.21207427978516,164.96499633789062,112.50212097167969,244.01898193359375
2021-04-09,129.788330078125,168.61000061035156,113.51717376708984,246.52423095703125
2021-04-12,128.07081604003906,168.96949768066406,111.9732437133789,246.58201599121094
2021-04-13,131.1837921142578,170.0,112.59300231933594,249.0679168701172
2021-04-14,128.84170532226562,166.64999389648438,111.97571563720703,246.273681640625
2021-04-15,131.25210571289062,168.95449829101562,114.0525131225586,250.04115295410156
2021-04-16,130.92030334472656,169.9720001220703,114.10713958740234,251.2359619140625
2021-04-19,131.58387756347656,168.60049438476562,114.33755493164062,249.3088836669922
2021-04-20,129.8957061767578,166.7344970703125,113.90204620361328,248.8463592529297
2021-04-21,130.2762451171875,168.1009979248047,113.8851547241211,251.081787109375
2021-04-22,128.75392150878906,165.45199584960938,112.62527465820312,247.79612731933594
2021-04-23,131.07643127441406,167.04400634765625,114.97816467285156,251.63104248046875
2021-04-26,131.466796875,170.4499969482422,115.54627990722656,252.01641845703125
2021-04-27,131.1447296142578,170.8715057373047,114.57195281982422,252.421142578125
2021-04-28,130.35427856445312,172.9250030517578,118.18672180175781,245.28125
2021-04-29,130.25674438476562,173.5655059814453,120.66873931884766,243.30592346191406
2021-04-30,128.28553771972656,173.37100219726562,119.68694305419922,242.98797607421875
2021-05-03,129.33944702148438,169.32449340820312,118.94452667236328,242.67962646484375
2021-05-04,124.76268005371094,165.593505859375,116.91244506835938,238.75802612304688
2021-05-05,125.00665283203125,163.52699279785156,117.03608703613281,237.48611450195312
2021-05-06,126.60704040527344,165.31849670410156,118.25822448730469,240.62728881835938
2021-05-07,127.28154754638672,164.58050537109375,119.11934661865234,243.2577362060547
2021-05-10,123.99708557128906,159.52450561523438,116.28722381591797,238.17025756835938
2021-05-11,123.0782241821289,161.19549560546875,114.65340423583984,237.25485229492188
2021-05-12,120.00885009765625,157.5970001220703,111.19308471679688,230.2883758544922
2021-05-13,122.15937805175781,158.07350158691406,112.32979583740234,234.1715087890625
2021-05-14,124.5835952758789,161.14500427246094,115.02088928222656,239.1048583984375
2021-05-17,123.43012237548828,163.51950073242188,115.28160095214844,236.24313354492188
2021-05-18,122.04206848144531,161.61399841308594,114.38871002197266,234.21966552734375
2021-05-19,121.88568115234375,161.58999633789062,114.6509017944336,234.79916381835938
2021-05-20,124.44673919677734,162.38400268554688,117.0038070678711,238.04412841796875
2021-05-21,122.60902404785156,160.1540069580078,116.45804595947266,236.77896118164062
2021-05-24,124.2414779663086,162.24949645996094,119.515625,242.19700622558594
2021-05-25,124.04596710205078,162.95249938964844,119.63480377197266,243.10479736328125
2021-05-26,123.99708557128906,163.25799560546875,120.84949493408203,242.8826904296875
2021-05-27,122.46239471435547,161.5054931640625,119.30904388427734,240.7772674560547
2021-05-28,121.8074722290039,161.15350341796875,119.75846099853516,241.13462829589844
2021-06-01,121.48489379882812,160.9324951171875,120.66475677490234,238.9326629638672
2021-06-02,122.24734497070312,161.69949340820312,120.24116516113281,238.8361053466797
2021-06-03,120.76153564453125,159.35049438476562,119.413330078125,237.3004913330078
2021-06-04,123.05867767333984,160.31100463867188,121.75479888916016,242.20664978027344
2021-06-07,123.0684585571289,159.90049743652344,122.46641540527344,245.1232452392578
2021-06-08,123.88954162597656,163.20550537109375,123.29873657226562,243.9257049560547
2021-06-09,124.2707748413086,164.0574951171875,123.72332763671875,244.9108123779297
2021-06-10,123.27372741699219,167.4824981689453,125.22306060791016,248.4358673095703
2021-06-11,124.4858627319336,167.3415069580078,124.84217071533203,249.06365966796875
2021-06-14,127.54544067382812,169.19349670410156,125.49320983886719,250.9951934814453
2021-06-15,126.72433471679688,169.156494140625,125.17638397216797,249.5175323486328
2021-06-16,127.22286987304688,170.7624969482422,124.84217071533203,248.57113647460938
2021-06-17,128.8259735107422,174.46200561523438,125.51209259033203,251.9706573486328
2021-06-18,127.52588653564453,174.34500122070312,124.71404266357422,250.5509033203125
2021-06-21,129.3245391845703,172.697998046875,125.59552001953125,253.64138793945312
2021-06-22,130.9667205810547,175.27200317382812,126.13631439208984,256.4228210449219
2021-06-23,130.69300842285156,175.1909942626953,125.60198974609375,256.19110107421875
2021-06-24,130.40957641601562,172.45399475097656,126.4168930053711,257.5625305175781
2021-06-25,130.1163330078125,170.072998046875,126.13184356689453,255.94955444335938
2021-06-28,131.7487335205078,172.1945037841797,125.9575424194336,259.5229797363281
